"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.944"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","52.800"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.900"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.610"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1078116000.000"
"2013","Pennsylvania","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.600"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","8.219"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","35.300"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","54.900"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.510"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","129608951.000"
"2013","Rhode Island","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.500"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.879"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","62.000"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.400"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.580"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","163002662.000"
"2013","South Carolina","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.570"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.766"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","42.700"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","44.100"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.540"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","54473910.000"
"2013","South Dakota","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.530"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.965"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","66.200"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.800"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.630"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","265091159.000"
"2013","Tennessee","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.620"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.747"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","36.200"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.100"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.420"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","1329662430.000"
"2013","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.410"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.296"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","21.400"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.000"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.710"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","104045712.000"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.700"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.672"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","42.100"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","47.300"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.630"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","67417623.000"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.620"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.939"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","69.400"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.500"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.310"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","171078000.000"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.300"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.745"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","19.500"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","52.100"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","4.035"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","407722946.000"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","3.025"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.830"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","103.100"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.300"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.560"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","105256965.000"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.550"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.421"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","39.800"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","47.600"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","3.530"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","573163403.000"
"2013","Wisconsin","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","2.520"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.018"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","60.800"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.100"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.610"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","21036314.000"
"2013","Wyoming","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.600"
